"varugrupp","år","Försäljning (inkl moms) av ekologiska livsmedel och alkoholfria drycker inom handeln (enligt COICOP), löpande priser, mnkr"
"01.1.1 spannmål och spannmålsprodukter","2023",723
"01.1.1 spannmål och spannmålsprodukter","2024",709
"01.1.2 kött","2023",785
"01.1.2 kött","2024",921
"01.1.3 fisk och skaldjur ","2023",2514
"01.1.3 fisk och skaldjur ","2024",5622
"01.1.4 mjölk, andra mejeriprodukter och ägg ","2023",3043
"01.1.4 mjölk, andra mejeriprodukter och ägg ","2024",2761
"01.1.5 oljor och fetter ","2023",545
"01.1.5 oljor och fetter ","2024",561
"01.1.6 frukter och nötter ","2023",3180
"01.1.6 frukter och nötter ","2024",2970
"01.1.7 grönsaker, rotfrukter och baljväxter","2023",2387
"01.1.7 grönsaker, rotfrukter och baljväxter","2024",2266
"01.1.8 socker, konfektyr och efterrätter ","2023",1450
"01.1.8 socker, konfektyr och efterrätter ","2024",1497
"01.1.9 färdigmat och andra livsmedelsprodukter ","2023",2156
"01.1.9 färdigmat och andra livsmedelsprodukter ","2024",2169
"01.2.1 frukt- och grönsaksjuicer ","2023",219
"01.2.1 frukt- och grönsaksjuicer ","2024",219
"01.2.2 kaffe och kaffesurrogat ","2023",697
"01.2.2 kaffe och kaffesurrogat ","2024",584
"01.2.3 te","2023",244
"01.2.3 te","2024",235
"01.2.5 vatten ","2023",3
"01.2.5 vatten ","2024",0
"01.2.6 läskedrycker ","2023",61
"01.2.6 läskedrycker ","2024",119
"01.2.9 andra alkoholfria drycker ","2023",162
"01.2.9 andra alkoholfria drycker ","2024",109
"02.1.1 spritdrycker ","2023",..
"02.1.1 spritdrycker ","2024",..
"02.1.2 vin ","2023",..
"02.1.2 vin ","2024",..
"02.1.3 öl ","2023",..
"02.1.3 öl ","2024",..
